transactionid,saledate,customerid,productid,storeid,campaignid,saleamount,commissionpercent,orderchannel
47,2025-05-04,1013,2032,404,0,2836.8,13.8,Mobile
48,2025-05-04,1016,2051,404,0,117.32,2.2,Catalog
49,2025-05-04,1147,2080,401,1,0.0,2.0,Online
51,2025-05-04,1063,2015,404,1,1214.95,6.2,Phone
52,2025-05-04,1198,2066,404,3,516.06,6.3,Mobile
53,2025-05-04,1113,2038,404,2,2223.62,14.0,Catalog
54,2025-05-04,1145,2079,401,0,1901.08,13.0,Online
56,2025-05-04,1169,2010,402,1,140.11,5.0,Phone
57,2025-05-04,1044,2070,401,1,0.0,2.0,Mobile
58,2025-05-04,1000,2052,404,3,2193.78,14.0,Catalog
59,2025-05-04,1074,2004,402,2,741.8,6.0,Online
61,2025-05-04,1175,2029,403,1,36.48,4.9,Phone
62,2025-05-04,1108,2014,402,1,221.67,4.6,Mobile
63,2025-05-04,1068,2018,401,0,2169.04,12.2,Catalog
64,2025-05-04,1042,2039,403,3,2929.32,12.7,Online
66,2025-05-04,1069,2064,404,3,1470.2,7.6,Phone
68,2025-05-04,1188,2041,403,0,1608.42,15.0,Catalog
69,2025-05-04,1023,2029,401,2,0.0,2.0,Online
71,2025-05-04,1132,2083,404,2,614.53,7.1,Phone
72,2025-05-04,1046,2074,404,3,659.5,7.7,Mobile
73,2025-05-04,1023,2060,403,3,1225.14,5.7,Catalog
74,2025-05-04,1085,2041,401,1,1447.58,7.8,Online
76,2025-05-04,1169,2051,401,3,117.32,3.4,Phone
77,2025-05-04,1022,2040,403,2,55.26,3.6,Mobile
79,2025-05-04,1168,2069,404,3,232.39,2.7,Online
81,2025-05-04,1160,2056,401,1,472.25,4.0,Phone
82,2025-05-04,1068,2070,402,2,109.38,3.1,Mobile
83,2025-05-04,1112,2089,404,0,2067.6,10.6,Catalog
84,2025-05-04,1007,2080,402,1,1498.07,7.8,Online
86,2025-05-04,1023,2028,401,3,2551.76,11.9,Phone
87,2025-05-04,1030,2082,402,3,799.8,8.2,Mobile
88,2025-05-04,1183,2037,403,3,2160.84,11.5,Catalog
89,2025-05-04,1123,2060,402,3,2450.28,13.1,Online
91,2025-05-04,1153,2065,402,0,470.34,4.9,Phone
92,2025-05-04,1070,2098,404,2,0.0,2.0,Mobile
93,2025-05-04,1129,2034,401,2,108.94,3.9,Catalog
94,2025-05-04,1185,2038,404,1,1667.72,12.3,Online
96,2025-05-04,1085,2070,404,3,0.0,2.0,Phone
97,2025-05-04,1082,2024,402,3,372.81,3.2,Mobile
98,2025-05-04,1059,2099,404,0,1292.64,5.6,Catalog
99,2025-05-04,1081,2095,404,3,490.79,3.8,Online
101,2025-05-04,1009,2016,403,0,969.06,7.8,Phone
102,2025-05-04,1112,2012,404,0,1869.57,13.9,Mobile
103,2025-05-04,1184,2018,404,1,488.03,4.6,Catalog
104,2025-05-04,1019,2060,403,2,0.0,2.0,Online
106,2025-05-04,1084,2086,404,2,2861.12,10.2,Phone
107,2025-05-04,1160,2091,404,0,905.79,7.9,Mobile
108,2025-05-04,1158,2008,402,2,159.82,3.0,Catalog
109,2025-05-04,1058,2095,401,3,2453.95,14.7,Online
111,2025-05-04,1042,2088,403,0,709.35,6.9,Phone
112,2025-05-04,1011,2041,401,2,0.0,2.0,Mobile
113,2025-05-04,1091,2047,404,1,0.0,2.0,Catalog
114,2025-05-04,1062,2067,404,1,0.0,2.0,Online
116,2025-05-04,1158,2087,402,3,477.96,2.2,Phone
117,2025-05-04,1149,2018,402,3,1626.78,14.4,Mobile
118,2025-05-04,1163,2032,404,2,756.48,5.2,Catalog
119,2025-05-04,1170,2001,404,2,659.76,5.6,Online
121,2025-05-04,1113,2044,403,3,0.0,2.0,Phone
122,2025-05-04,1176,2032,404,2,756.48,8.3,Mobile
123,2025-05-04,1050,2049,404,0,2819.52,15.0,Catalog
124,2025-05-04,1060,2048,403,2,1144.42,8.1,Online
126,2025-05-04,1070,2001,401,3,0.0,2.0,Phone
127,2025-05-04,1073,2099,402,2,0.0,2.0,Mobile
128,2025-05-04,1056,2081,402,2,0.0,2.0,Catalog
129,2025-05-04,1173,2096,402,0,672.18,9.0,Online
131,2025-05-04,1112,2004,403,1,1669.05,12.6,Phone
132,2025-05-04,1023,2037,403,3,2160.84,13.8,Mobile
133,2025-05-04,1044,2025,402,2,223.7,4.0,Catalog
134,2025-05-04,1135,2064,403,1,793.91,5.9,Online
136,2025-05-04,1029,2059,401,1,921.69,6.3,Phone
137,2025-05-04,1193,2028,404,2,1531.06,10.9,Mobile
138,2025-05-04,1023,2050,401,2,298.85,2.0,Catalog
139,2025-05-04,1137,2015,404,2,539.98,6.9,Online
141,2025-05-04,1163,2047,401,1,301.48,2.0,Phone
142,2025-05-04,1120,2003,403,1,1039.99,8.2,Mobile
143,2025-05-04,1165,2008,404,2,53.27,4.6,Catalog
144,2025-05-04,1166,2052,401,1,658.13,8.1,Online
146,2025-05-04,1029,2012,402,1,0.0,2.0,Phone
147,2025-05-04,1099,2058,403,3,666.75,8.4,Mobile
148,2025-05-04,1150,2095,402,3,490.79,2.8,Catalog
149,2025-05-04,1167,2012,404,3,0.0,2.0,Online
151,2025-05-04,1113,2056,402,2,839.55,6.3,Phone
152,2025-05-04,1025,2087,403,2,0.0,2.0,Mobile
153,2025-05-04,1015,2050,403,1,504.31,8.4,Catalog
154,2025-05-04,1031,2058,401,1,2400.3,14.7,Online
156,2025-05-04,1085,2031,402,1,508.77,5.6,Phone
157,2025-05-04,1017,2097,402,1,757.89,8.0,Mobile
158,2025-05-04,1059,2042,402,0,0.0,2.0,Catalog
159,2025-05-04,1070,2018,402,2,0.0,2.0,Online
161,2025-05-04,1003,2045,402,2,499.42,2.3,Phone
162,2025-05-04,1004,2022,403,0,671.18,8.8,Mobile
163,2025-05-04,1032,2094,404,0,493.35,3.4,Catalog
164,2025-05-04,1190,2008,404,3,266.36,3.6,Online
166,2025-05-04,1128,2028,401,2,2041.41,10.0,Phone
167,2025-05-04,1117,2082,401,0,799.8,7.5,Mobile
168,2025-05-04,1122,2051,404,0,234.64,3.9,Catalog
169,2025-05-04,1125,2091,404,0,1811.58,11.4,Online
172,2025-05-04,1152,2067,403,3,872.85,6.3,Mobile
173,2025-05-04,1129,2077,404,0,2809.15,13.5,Catalog
174,2025-05-04,1179,2014,402,3,738.9,8.2,Online
176,2025-05-04,1116,2051,404,0,351.96,4.6,Phone
178,2025-05-04,1095,2019,404,0,933.93,7.9,Catalog
179,2025-05-04,1023,2010,401,3,0.0,2.0,Online
181,2025-05-04,1142,2007,403,0,583.39,7.2,Phone
182,2025-05-04,1105,2045,404,0,624.28,8.8,Mobile
183,2025-05-04,1073,2076,403,2,1934.57,14.1,Catalog
184,2025-05-04,1026,2073,402,1,1797.95,11.5,Online
186,2025-05-04,1089,2071,403,0,0.0,2.0,Phone
187,2025-05-04,1195,2035,402,3,0.0,2.0,Mobile
188,2025-05-04,1143,2098,401,2,2178.86,12.9,Catalog
189,2025-05-04,1007,2023,403,2,751.63,6.2,Online
191,2025-05-04,1036,2072,404,0,1260.9,5.3,Phone
192,2025-05-04,1036,2094,401,0,2466.75,13.6,Mobile
193,2025-05-04,1191,2067,402,3,872.85,7.5,Catalog
194,2025-05-04,1107,2058,403,1,1800.22,10.2,Online
196,2025-05-04,1013,2019,402,0,0.0,2.0,Phone
197,2025-05-04,1172,2010,403,3,0.0,2.0,Mobile
198,2025-05-04,1169,2054,404,3,900.51,5.0,Catalog
199,2025-05-04,1106,2034,402,0,136.17,4.4,Online
201,2025-05-04,1173,2086,404,2,715.28,7.2,Phone
202,2025-05-04,1011,2028,404,0,0.0,2.0,Mobile
203,2025-05-04,1001,2026,403,1,190.4,2.5,Catalog
204,2025-05-04,1196,2017,403,2,370.96,4.1,Online
206,2025-05-04,1191,2055,402,1,48.55,4.3,Phone
207,2025-05-04,1097,2068,402,2,1312.38,8.5,Mobile
208,2025-05-04,1018,2050,401,3,0.0,2.0,Catalog
209,2025-05-04,1004,2058,401,2,1066.8,7.4,Online
211,2025-05-04,1074,2014,404,0,738.9,6.9,Phone
212,2025-05-04,1083,2021,404,2,668.33,8.4,Mobile
213,2025-05-04,1022,2055,401,1,97.09,2.7,Catalog
214,2025-05-04,1111,2075,404,0,1561.28,10.3,Online
216,2025-05-04,1085,2099,402,0,646.32,6.1,Phone
217,2025-05-04,1130,2081,401,1,1343.2,8.8,Mobile
218,2025-05-04,1198,2044,403,1,186.82,2.3,Catalog
219,2025-05-04,1060,2013,402,2,0.0,2.0,Online
221,2025-05-04,1045,2098,404,3,907.86,6.7,Phone
222,2025-05-04,1193,2072,404,2,1681.2,14.7,Mobile
223,2025-05-04,1160,2040,402,3,138.16,4.6,Catalog
224,2025-05-04,1017,2060,404,2,0.0,2.0,Online
226,2025-05-04,1129,2009,403,3,198.93,4.4,Phone
227,2025-05-04,1115,2004,401,2,2225.4,13.8,Mobile
228,2025-05-04,1073,2009,401,3,66.31,2.4,Catalog
229,2025-05-04,1118,2074,401,3,659.5,6.9,Online
231,2025-05-04,1154,2060,402,0,408.38,4.3,Phone
232,2025-05-04,1115,2013,403,0,2806.08,14.0,Mobile
233,2025-05-04,1129,2082,402,0,1066.4,5.5,Catalog
234,2025-05-04,1063,2090,404,3,71.64,4.4,Online
236,2025-05-04,1095,2036,404,3,653.94,8.5,Phone
237,2025-05-04,1198,2043,401,2,1397.52,8.1,Mobile
238,2025-05-04,1016,2042,401,3,0.0,2.0,Catalog
239,2025-05-04,1072,2032,402,2,1512.96,13.6,Online
241,2025-05-04,1079,2083,404,1,691.34,7.2,Phone
242,2025-05-04,1152,2090,401,2,57.31,2.5,Mobile
243,2025-05-04,1143,2048,403,1,0.0,2.0,Catalog
244,2025-05-04,1171,2089,401,3,1654.08,14.0,Online
246,2025-05-04,1079,2023,402,2,3006.53,10.5,Phone
247,2025-05-04,1196,2062,402,1,1114.85,6.0,Mobile
248,2025-05-04,1035,2019,401,2,0.0,2.0,Catalog
249,2025-05-04,1025,2064,401,2,705.7,7.9,Online
251,2025-05-04,1039,2020,402,1,338.25,2.0,Phone
252,2025-05-04,1184,2056,401,3,1574.16,13.4,Mobile
254,2025-05-04,1156,2036,404,1,392.36,3.7,Online
256,2025-05-04,1049,2047,404,3,1674.9,15.0,Phone
257,2025-05-04,1196,2036,404,3,0.0,2.0,Mobile
258,2025-05-04,1041,2025,402,2,671.09,8.4,Catalog
259,2025-05-04,1013,2082,404,2,1066.4,6.6,Online
261,2025-05-04,1021,2097,402,2,673.68,6.8,Phone
262,2025-05-04,1115,2065,402,3,1881.36,10.3,Mobile
263,2025-05-04,1023,2028,404,2,510.35,7.9,Catalog
264,2025-05-04,1006,2053,401,3,610.15,5.4,Online
266,2025-05-04,1020,2047,402,0,669.96,5.4,Phone
267,2025-05-04,1081,2012,403,1,1682.61,14.8,Mobile
268,2025-05-04,1035,2004,403,3,927.25,8.8,Catalog
269,2025-05-04,1178,2017,404,3,1854.8,11.3,Online
271,2025-05-04,1065,2027,402,3,775.83,7.3,Phone
273,2025-05-04,1077,2015,401,1,1822.42,14.4,Catalog
274,2025-05-04,1107,2081,404,0,2238.66,14.5,Online
276,2025-05-04,1183,2018,403,3,2711.3,14.6,Phone
277,2025-05-04,1000,2078,403,1,0.0,2.0,Mobile
278,2025-05-04,1146,2053,402,0,1220.3,5.5,Catalog
279,2025-05-04,1134,2046,401,0,33.43,3.0,Online
281,2025-05-04,1095,2032,401,2,1512.96,12.1,Phone
282,2025-05-04,1017,2044,402,0,207.58,2.9,Mobile
283,2025-05-04,1197,2074,403,1,593.55,5.4,Catalog
284,2025-05-04,1011,2045,403,1,842.78,6.1,Online
286,2025-05-04,1161,2023,402,0,939.54,6.5,Phone
287,2025-05-04,1183,2099,404,0,1292.64,8.6,Mobile
288,2025-05-04,1075,2025,401,1,0.0,2.0,Catalog
289,2025-05-04,1010,2040,403,3,138.16,3.8,Online
291,2025-05-04,1192,2082,402,2,213.28,2.7,Phone
292,2025-05-04,1091,2099,401,2,1034.11,6.5,Mobile
293,2025-05-04,1069,2015,403,3,2699.88,11.9,Catalog
294,2025-05-04,1102,2095,404,3,1472.37,6.2,Online
296,2025-05-04,1094,2066,403,0,1032.12,5.0,Phone
297,2025-05-04,1186,2054,401,3,0.0,2.0,Mobile
298,2025-05-04,1154,2023,403,2,751.63,6.3,Catalog
299,2025-05-04,1026,2010,403,2,62.27,2.7,Online
301,2025-05-04,1176,2056,403,3,524.72,8.6,Phone
302,2025-05-04,1010,2093,403,3,0.0,2.0,Mobile
303,2025-05-04,1070,2081,401,0,1492.44,6.7,Catalog
304,2025-05-04,1171,2081,404,2,596.98,7.7,Online
306,2025-05-04,1036,2077,404,0,1123.66,8.5,Phone
307,2025-05-04,1032,2008,402,2,106.54,4.4,Mobile
308,2025-05-04,1092,2049,401,1,0.0,2.0,Catalog
309,2025-05-04,1173,2057,403,2,349.58,3.2,Online
311,2025-05-04,1135,2046,404,2,80.23,2.9,Phone
312,2025-05-04,1166,2035,402,0,899.99,7.2,Mobile
313,2025-05-04,1006,2094,402,3,1480.05,8.8,Catalog
314,2025-05-04,1132,2049,401,2,1503.74,11.8,Online
316,2025-05-04,1156,2036,404,1,784.73,6.9,Phone
317,2025-05-04,1031,2017,401,3,0.0,2.0,Mobile
318,2025-05-04,1044,2091,404,0,1811.58,10.0,Catalog
319,2025-05-04,1174,2040,403,0,34.54,4.0,Online
321,2025-05-04,1040,2091,402,2,724.63,8.9,Phone
322,2025-05-04,1130,2028,401,1,574.15,5.7,Mobile
323,2025-05-04,1035,2030,404,0,339.94,3.6,Catalog
324,2025-05-04,1092,2070,403,3,102.54,2.0,Online
326,2025-05-04,1079,2050,404,3,186.78,4.1,Phone
327,2025-05-04,1196,2052,401,1,2632.54,11.3,Mobile
328,2025-05-04,1081,2082,401,3,1066.4,6.9,Catalog
329,2025-05-04,1119,2087,403,1,0.0,2.0,Online
331,2025-05-04,1110,2064,401,0,0.0,2.0,Phone
332,2025-05-04,1132,2019,403,1,1681.07,13.6,Mobile
333,2025-05-04,1041,2041,402,2,643.37,8.8,Catalog
334,2025-05-04,1132,2036,401,2,348.77,3.2,Online
336,2025-05-04,1160,2038,401,1,0.0,2.0,Phone
337,2025-05-04,1151,2074,402,1,1187.1,8.6,Mobile
338,2025-05-04,1168,2079,403,0,1901.08,13.3,Catalog
339,2025-05-04,1007,2010,401,2,62.27,2.7,Online
341,2025-05-04,1127,2080,403,2,1997.42,13.0,Phone
342,2025-05-04,1123,2031,404,2,1356.72,6.9,Mobile
343,2025-05-04,1116,2009,401,1,119.36,4.1,Catalog
344,2025-05-04,1112,2053,404,3,0.0,2.0,Online
346,2025-05-04,1183,2040,403,3,103.62,2.4,Phone
348,2025-05-04,1081,2030,404,0,339.94,5.0,Catalog
349,2025-05-04,1068,2057,402,1,1179.85,6.3,Online
351,2025-05-04,1157,2053,402,1,1098.27,5.7,Phone
352,2025-05-04,1083,2073,403,1,2247.44,11.1,Mobile
353,2025-05-04,1195,2020,404,3,1879.15,11.8,Catalog
354,2025-05-04,1127,2039,404,0,1952.88,10.1,Online
356,2025-05-04,1055,2074,403,0,1978.5,11.3,Phone
357,2025-05-04,1012,2036,404,3,653.94,6.3,Mobile
358,2025-05-04,1073,2068,401,0,2460.72,14.6,Catalog
359,2025-05-04,1110,2017,403,2,370.96,2.6,Online
361,2025-05-04,1102,2006,402,2,792.0,7.2,Phone
362,2025-05-04,1141,2036,401,3,871.92,7.7,Mobile
363,2025-05-04,1129,2057,403,0,1747.92,14.3,Catalog
364,2025-05-04,1032,2012,404,2,997.1,5.8,Online
366,2025-05-04,1050,2077,404,0,561.83,8.1,Phone
367,2025-05-04,1011,2004,402,2,0.0,2.0,Mobile
368,2025-05-04,1121,2066,404,1,0.0,2.0,Catalog
369,2025-05-04,1155,2065,402,2,1128.82,6.7,Online
371,2025-05-04,1157,2094,403,2,1578.72,13.6,Phone
372,2025-05-04,1129,2065,404,2,752.54,5.4,Mobile
373,2025-05-04,1121,2002,403,2,2771.2,11.9,Catalog
374,2025-05-04,1172,2014,404,2,197.04,4.6,Online
376,2025-05-04,1067,2083,402,0,0.0,2.0,Phone
377,2025-05-04,1149,2061,402,3,1199.52,9.0,Mobile
378,2025-05-04,1037,2087,402,0,318.64,5.0,Catalog
379,2025-05-04,1146,2089,401,1,744.34,8.6,Online
381,2025-05-04,1038,2052,402,3,2193.78,10.0,Phone
383,2025-05-04,1180,2017,402,2,741.92,8.8,Catalog
384,2025-05-04,1169,2061,404,2,319.87,4.3,Online
387,2025-05-04,1049,2031,403,2,1356.72,7.2,Mobile
388,2025-05-04,1057,2038,403,1,2501.58,10.1,Catalog
389,2025-05-04,1176,2090,404,2,343.87,2.8,Online
391,2025-05-04,1031,2073,404,3,1498.29,6.4,Phone
392,2025-05-04,1088,2098,402,2,726.29,5.4,Mobile
393,2025-05-04,1010,2036,401,2,348.77,2.1,Catalog
394,2025-05-04,1113,2083,403,3,3072.64,10.6,Online
396,2025-05-04,1035,2013,402,1,1683.65,11.1,Phone
397,2025-05-04,1012,2085,402,1,217.94,4.6,Mobile
398,2025-05-04,1013,2012,404,2,1994.21,14.7,Catalog
399,2025-05-04,1183,2060,401,1,367.54,2.9,Online
401,2025-05-04,1167,2060,404,1,735.08,7.7,Phone
402,2025-05-04,1193,2036,403,2,348.77,4.7,Mobile
403,2025-05-04,1165,2007,401,1,0.0,2.0,Catalog
404,2025-05-04,1136,2094,401,1,1776.06,10.1,Online
406,2025-05-04,1126,2023,403,0,0.0,2.0,Phone
407,2025-05-04,1002,2038,401,2,1482.42,6.6,Mobile
408,2025-05-04,1072,2058,404,1,1200.15,7.3,Catalog
409,2025-05-04,1129,2059,403,1,1382.54,7.3,Online
411,2025-05-04,1165,2032,402,0,0.0,2.0,Phone
412,2025-05-04,1188,2043,403,1,1572.21,14.0,Mobile
413,2025-05-04,1044,2078,404,3,426.03,3.7,Catalog
414,2025-05-04,1131,2041,401,3,3216.84,11.7,Online
416,2025-05-04,1122,2041,402,0,1608.42,11.0,Phone
417,2025-05-04,1066,2049,402,3,0.0,2.0,Mobile
418,2025-05-04,1192,2034,403,2,326.81,3.7,Catalog
419,2025-05-04,1149,2092,401,2,1157.3,8.3,Online
421,2025-05-04,1170,2015,404,2,0.0,2.0,Phone
422,2025-05-04,1040,2051,403,0,469.28,3.6,Mobile
423,2025-05-04,1163,2037,403,1,0.0,2.0,Catalog
424,2025-05-04,1056,2017,404,1,834.66,7.5,Online
426,2025-05-04,1179,2070,404,1,61.52,4.1,Phone
427,2025-05-04,1195,2031,401,3,1695.9,13.7,Mobile
428,2025-05-04,1135,2090,403,0,0.0,2.0,Catalog
429,2025-05-04,1144,2014,401,1,443.34,3.5,Online
431,2025-05-04,1083,2066,404,0,516.06,7.0,Phone
432,2025-05-04,1174,2026,404,0,423.12,4.0,Mobile
433,2025-05-04,1130,2057,401,3,1747.92,10.3,Catalog
434,2025-05-04,1033,2065,404,3,0.0,2.0,Online
436,2025-05-04,1185,2002,404,2,692.8,8.3,Phone
437,2025-05-04,1000,2095,402,0,0.0,2.0,Mobile
438,2025-05-04,1011,2054,403,0,900.51,7.1,Catalog
439,2025-05-04,1138,2007,401,3,2333.56,14.5,Online
441,2025-05-04,1196,2017,404,2,741.92,6.7,Phone
442,2025-05-04,1097,2057,404,3,436.98,3.8,Mobile
443,2025-05-04,1020,2087,402,2,637.28,6.4,Catalog
444,2025-05-04,1030,2022,404,1,604.06,6.5,Online
446,2025-05-04,1076,2059,404,3,1536.15,12.0,Phone
447,2025-05-04,1058,2031,404,2,0.0,2.0,Mobile
448,2025-05-04,1039,2035,402,0,899.99,8.9,Catalog
449,2025-05-04,1008,2084,404,0,845.55,5.6,Online
451,2025-05-04,1152,2004,404,0,2781.75,12.6,Phone
452,2025-05-04,1062,2094,401,3,1973.4,13.2,Mobile
453,2025-05-04,1112,2029,402,0,13.51,4.9,Catalog
454,2025-05-04,1035,2064,403,1,0.0,2.0,Online
456,2025-05-04,1060,2038,402,1,3335.44,12.4,Phone
457,2025-05-04,1105,2038,403,0,1853.02,14.7,Mobile
459,2025-05-04,1142,2063,401,2,1325.9,5.6,Online
461,2025-05-04,1178,2053,404,1,1647.4,13.0,Phone
462,2025-05-04,1076,2048,402,3,1072.89,6.3,Mobile
463,2025-05-04,1061,2028,403,1,1148.29,7.3,Catalog
464,2025-05-04,1118,2007,404,3,1750.17,13.5,Online
466,2025-05-04,1062,2032,402,2,756.48,5.7,Phone
467,2025-05-04,1165,2010,404,2,124.54,4.8,Mobile
468,2025-05-04,1023,2068,402,0,2460.72,10.3,Catalog
469,2025-05-04,1068,2048,401,0,715.26,6.0,Online
471,2025-05-04,1053,2042,403,0,167.61,3.7,Phone
472,2025-05-04,1054,2024,401,3,372.81,3.8,Mobile
473,2025-05-04,1062,2089,402,3,1240.56,8.9,Catalog
474,2025-05-04,1061,2070,403,2,27.34,2.1,Online
476,2025-05-04,1066,2046,404,3,200.58,3.6,Phone
477,2025-05-04,1025,2092,404,2,771.54,7.2,Mobile
478,2025-05-04,1052,2047,403,3,334.98,4.2,Catalog
479,2025-05-04,1011,2072,402,1,756.54,5.3,Online
481,2025-05-04,1039,2025,403,1,503.32,8.2,Phone
482,2025-05-04,1097,2072,402,3,420.3,4.6,Mobile
483,2025-05-04,1140,2083,403,2,1843.58,12.5,Catalog
484,2025-05-04,1195,2062,404,3,3096.8,14.8,Online
486,2025-05-04,1035,2092,404,1,0.0,2.0,Phone
487,2025-05-04,1138,2082,401,0,533.2,6.4,Mobile
488,2025-05-04,1019,2085,401,0,484.3,4.1,Catalog
489,2025-05-04,1105,2017,402,0,1391.1,7.6,Online
491,2025-05-04,1129,2058,403,0,1333.5,5.3,Phone
492,2025-05-04,1158,2081,404,3,2984.88,11.8,Mobile
493,2025-05-04,1004,2000,404,0,2907.93,14.3,Catalog
494,2025-05-04,1004,2067,403,2,465.52,4.6,Online
496,2025-05-04,1027,2012,402,1,1121.74,9.0,Phone
498,2025-05-04,1068,2050,401,2,0.0,2.0,Catalog
499,2025-05-04,1103,2058,402,1,600.08,7.0,Online
501,2025-05-04,1023,2051,404,3,351.96,5.0,Phone
502,2025-05-04,1141,2060,401,0,408.38,4.1,Mobile
503,2025-05-04,1179,2021,401,3,835.41,5.5,Catalog
504,2025-05-04,1111,2082,403,0,0.0,2.0,Online
506,2025-05-04,1177,2072,404,2,1008.72,6.6,Phone
507,2025-05-04,1011,2009,403,0,0.0,2.0,Mobile
508,2025-05-04,1045,2040,401,1,31.09,4.1,Catalog
509,2025-05-04,1150,2018,404,0,1084.52,8.6,Online
511,2025-05-04,1173,2069,403,3,232.39,4.0,Phone
512,2025-05-04,1193,2094,402,0,1480.05,5.6,Mobile
513,2025-05-04,1128,2095,403,0,0.0,2.0,Catalog
514,2025-05-04,1025,2055,402,0,107.88,3.2,Online
516,2025-05-04,1007,2081,403,3,746.22,8.4,Phone
517,2025-05-04,1125,2029,403,3,40.53,4.2,Mobile
518,2025-05-04,1110,2023,404,0,1879.08,11.2,Catalog
519,2025-05-04,1197,2079,403,1,855.49,6.7,Online
521,2025-05-04,1039,2048,402,3,357.63,4.4,Phone
522,2025-05-04,1081,2046,401,0,33.43,2.6,Mobile
523,2025-05-04,1001,2039,404,2,2343.46,12.9,Catalog
524,2025-05-04,1194,2034,401,1,245.11,3.7,Online
526,2025-05-04,1142,2071,404,0,615.16,7.4,Phone
527,2025-05-04,1006,2011,403,0,1229.22,5.1,Mobile
528,2025-05-04,1152,2076,403,3,2418.21,10.7,Catalog
529,2025-05-04,1003,2037,404,3,1440.56,7.1,Online
531,2025-05-04,1175,2048,402,1,965.6,7.9,Phone
532,2025-05-04,1068,2038,403,3,0.0,2.0,Mobile
533,2025-05-04,1037,2008,402,3,266.36,3.2,Catalog
534,2025-05-04,1070,2053,403,3,1830.45,11.8,Online
536,2025-05-04,1063,2092,404,1,867.98,6.2,Phone
537,2025-05-04,1117,2013,402,2,2244.86,10.6,Mobile
538,2025-05-04,1001,2050,403,3,0.0,2.0,Catalog
539,2025-05-04,1084,2056,403,3,1574.16,14.3,Online
541,2025-05-04,1082,2077,402,3,0.0,2.0,Phone
542,2025-05-04,1080,2022,404,2,1073.89,6.7,Mobile
543,2025-05-04,1074,2094,404,1,444.02,3.3,Catalog
544,2025-05-04,1083,2048,403,3,0.0,2.0,Online
546,2025-05-04,1174,2098,401,3,2723.58,13.0,Phone
547,2025-05-04,1181,2026,404,2,507.74,6.5,Mobile
548,2025-05-04,1177,2008,404,3,332.95,2.1,Catalog
549,2025-05-04,1035,2081,403,1,1343.2,8.6,Online
551,2025-05-04,1096,2009,404,3,198.93,2.2,Phone
552,2025-05-04,1149,2051,404,0,0.0,2.0,Mobile
553,2025-05-04,1092,2089,401,0,827.04,7.3,Catalog
554,2025-05-04,1196,2031,403,1,1526.31,10.2,Online
556,2025-05-04,1192,2042,404,0,1005.66,6.3,Phone
557,2025-05-04,1002,2012,403,1,560.87,8.8,Mobile
558,2025-05-04,1130,2095,402,3,1963.16,11.5,Catalog
559,2025-05-04,1095,2050,404,1,168.1,4.8,Online
561,2025-05-04,1075,2053,401,0,1830.45,12.8,Phone
562,2025-05-04,1186,2018,403,2,1301.42,7.2,Mobile
563,2025-05-04,1087,2058,402,3,2667.0,12.3,Catalog
564,2025-05-04,1089,2060,401,3,408.38,4.6,Online
566,2025-05-04,1017,2038,401,0,0.0,2.0,Phone
567,2025-05-04,1005,2043,401,1,786.1,6.9,Mobile
568,2025-05-04,1189,2031,402,1,2035.08,11.6,Catalog
